705-753,대구,남구,대명1동 동신점보아파트,,11686
705-754,대구,남구,대명1동 동아대덕아파트,,11687
705-755,대구,남구,대명1동 세종맨션,,11688
705-783,대구,남구,대명1동 정우아파트,(1∼7동),11689
705-808,대구,남구,대명1동,619,11690
705-808,대구,남구,대명1동,629,11691
705-809,대구,남구,대명1동,632∼633,11692
705-809,대구,남구,대명1동,636∼642,11693
705-809,대구,남구,대명1동,780∼807,11694
705-808,대구,남구,대명1동,1220∼1224,11695
705-809,대구,남구,대명1동,1649∼1668,11696
705-808,대구,남구,대명1동,1669∼1678,11697
705-840,대구,남구,대명1동,1714∼1720,11698
705-840,대구,남구,대명1동,1721-(1∼25),11699
705-840,대구,남구,대명1동,1722,11700
705-031,대구,남구,대명1동,,11701
705-756,대구,남구,대명2동 가든맨션,,11702
705-791,대구,남구,대명2동 남대구우체국,,11703
705-715,대구,남구,대명2동 대구교육대학교,,11704
705-791,대구,남구,대명2동 우체국보험대구회관,,11705
705-800,대구,남구,대명2동,1∼20,11706
705-800,대구,남구,대명2동,21-(1),11707
705-800,대구,남구,대명2동,21-(12),11708
705-800,대구,남구,대명2동,22∼34,11709
705-817,대구,남구,대명2동,1790∼1793,11710
705-818,대구,남구,대명2동,1794∼1796,11711
705-817,대구,남구,대명2동,1797∼1816,11712
705-818,대구,남구,대명2동,1817∼1818,11713
705-817,대구,남구,대명2동,1819∼1830,11714
705-818,대구,남구,대명2동,1831∼1871,11715
705-817,대구,남구,대명2동,1872∼1879,11716
705-818,대구,남구,대명2동,1880∼1889,11717
705-818,대구,남구,대명2동,1900∼1911,11718
705-818,대구,남구,대명2동,1924∼1926,11719
705-818,대구,남구,대명2동,1928∼1981,11720
705-800,대구,남구,대명2동,1982∼2012,11721
705-821,대구,남구,대명2동,2013,11722
705-800,대구,남구,대명2동,2014,11723
705-821,대구,남구,대명2동,2015∼2125,11724
705-032,대구,남구,대명2동,,11725
705-701,대구,남구,대명3동 계명대학교,,11726
705-714,대구,남구,대명3동 대구대학교,,11727
705-776,대구,남구,대명3동 아이씨티파크1관,,11728
705-777,대구,남구,대명3동 아이씨티파크2관,,11729
705-778,대구,남구,대명3동 아이씨티파크3관,,11730
705-779,대구,남구,대명3동 아이씨티파크4관,,11731
705-703,대구,남구,대명3동 영남이공대학,,11732
705-816,대구,남구,대명3동,1723∼1789,11733
705-819,대구,남구,대명3동,1890∼1895,11734
705-820,대구,남구,대명3동,1896∼1899,11735
705-816,대구,남구,대명3동,1912∼1923,11736
705-816,대구,남구,대명3동,1927,11737
705-816,대구,남구,대명3동,2126∼2199,11738
705-822,대구,남구,대명3동,2200∼2247,11739
705-823,대구,남구,대명3동,2248∼2250,11740
705-822,대구,남구,대명3동,2251∼2262,11741
705-823,대구,남구,대명3동,2263∼2294,11742
705-822,대구,남구,대명3동,2295∼2399,11743
705-823,대구,남구,대명3동,2400∼2679,11744
705-033,대구,남구,대명3동,,11745
705-757,대구,남구,대명4동 경북아파트,,11746
705-758,대구,남구,대명4동 금오아파트,,11747
705-718,대구,남구,대명4동 대구가톨릭의과대학,,11748
705-718,대구,남구,대명4동 대구가톨릭의과대학병원,,11749
705-759,대구,남구,대명4동 삼정비취1차아파트,,11750
705-759,대구,남구,대명4동 성명상가아파트,,11751
705-758,대구,남구,대명4동 흥아아파트,,11752
705-824,대구,남구,대명4동,2769∼3012,11753
705-825,대구,남구,대명4동,3013∼3019,11754
705-824,대구,남구,대명4동,3020∼3024,11755
705-825,대구,남구,대명4동,3025∼3031,11756
705-824,대구,남구,대명4동,3032∼3038,11757
705-825,대구,남구,대명4동,3039∼3056,11758
705-825,대구,남구,대명4동,산323∼329,11759
705-825,대구,남구,대명4동,산332∼358,11760
705-034,대구,남구,대명4동,,11761
705-705,대구,남구,대명5동 대구남부경찰서,,11762
705-706,대구,남구,대명5동 대구지방보훈청,,11763
705-788,대구,남구,대명5동 도로교통공단TBN대구교통방송,,11764
705-760,대구,남구,대명5동 백작맨션,,11765
705-761,대구,남구,대명5동 새한아파트,,11766
705-761,대구,남구,대명5동 세광아파트,,11767
705-717,대구,남구,대명5동 영남대학교의료원,,11768
705-801,대구,남구,대명5동,21-(8∼10),11769
705-801,대구,남구,대명5동,35∼164,11770
705-802,대구,남구,대명5동,165∼208,11771
705-801,대구,남구,대명5동,209∼288,11772
705-802,대구,남구,대명5동,289∼329,11773
705-801,대구,남구,대명5동,333∼335,11774
705-801,대구,남구,대명5동,359∼360,11775
705-802,대구,남구,대명5동,521,11776
705-802,대구,남구,대명5동,541∼542,11777
705-802,대구,남구,대명5동,1679∼1713,11778
705-035,대구,남구,대명5동,,11779
705-762,대구,남구,대명6동 뉴우방코스모스아파트,,11780
705-762,대구,남구,대명6동 우방코스모스아파트,(가∼마동),11781
705-806,대구,남구,대명6동,564∼584,11782
705-807,대구,남구,대명6동,585∼600,11783
705-806,대구,남구,대명6동,601∼614,11784
705-806,대구,남구,대명6동,937∼959,11785
705-811,대구,남구,대명6동,960∼977,11786
705-806,대구,남구,대명6동,982∼985,11787
705-806,대구,남구,대명6동,988∼989,11788
705-806,대구,남구,대명6동,1012∼1022,11789
705-811,대구,남구,대명6동,1023∼1115,11790
705-811,대구,남구,대명6동,1202∼1219,11791
705-807,대구,남구,대명6동,1260∼1266,11792
705-811,대구,남구,대명6동,1267∼1399,11793
705-807,대구,남구,대명6동,1400∼1426,11794
705-811,대구,남구,대명6동,1427∼1434,11795
705-807,대구,남구,대명6동,1435∼1465,11796
705-811,대구,남구,대명6동,1510∼1512,11797
705-811,대구,남구,대명6동,2681∼2739,11798
705-036,대구,남구,대명6동,,11799
705-707,대구,남구,대명9동 KT남대구지사,,11800
705-708,대구,남구,대명9동 KT대구망건설국,,11801
705-716,대구,남구,대명9동 대구광역시시립남부도서관,,11802
705-763,대구,남구,대명9동 앞산빌라,,11803
705-764,대구,남구,대명9동 보성청록타운,,11804
705-803,대구,남구,대명9동,330∼332,11805
705-803,대구,남구,대명9동,336∼358,11806
705-803,대구,남구,대명9동,361∼470,11807
705-804,대구,남구,대명9동,471∼480,11808
705-803,대구,남구,대명9동,481∼484,11809
705-804,대구,남구,대명9동,485∼500,11810
705-805,대구,남구,대명9동,501∼506,11811
705-804,대구,남구,대명9동,507∼520,11812
705-804,대구,남구,대명9동,522∼540,11813
705-804,대구,남구,대명9동,543∼563,11814
705-805,대구,남구,대명9동,615∼618,11815
705-805,대구,남구,대명9동,620∼628,11816
705-804,대구,남구,대명9동,630∼631,11817
705-804,대구,남구,대명9동,634∼635,11818
705-804,대구,남구,대명9동,643∼665,11819
705-805,대구,남구,대명9동,666∼779,11820
705-805,대구,남구,대명9동,812∼936,11821
705-804,대구,남구,대명9동,2680,11822
705-804,대구,남구,대명9동,산1∼227,11823
705-039,대구,남구,대명9동,,11824
705-782,대구,남구,대명10동 개나리아파트,(가∼다동),11825
705-790,대구,남구,대명10동 남대구세무서,,11826
705-766,대구,남구,대명10동 삼정비취맨션,,11827
705-765,대구,남구,대명10동 세신아파트,,11828
705-765,대구,남구,대명10동 용마맨션,,11829
705-766,대구,남구,대명10동 우방코스모스아파트,(A∼B동),11830
705-767,대구,남구,대명10동 파크맨션,,11831
705-810,대구,남구,대명10동,808∼811,11832
705-812,대구,남구,대명10동,978∼981,11833
705-812,대구,남구,대명10동,986∼987,11834
705-812,대구,남구,대명10동,990∼1011,11835
705-815,대구,남구,대명10동,1225∼1229,11836
705-815,대구,남구,대명10동,1590∼1605,11837
705-810,대구,남구,대명10동,1606∼1612,11838
705-810,대구,남구,대명10동,1620∼1629,11839
705-812,대구,남구,대명10동,1630∼1633,11840
705-810,대구,남구,대명10동,1634∼1648,11841
705-040,대구,남구,대명10동,,11842
705-768,대구,남구,대명11동 공원아파트,,11843
705-789,대구,남구,대명11동 도로교통공단대구광역시지부,,11844
705-768,대구,남구,대명11동 삼두아파트,,11845
705-768,대구,남구,대명11동 성한아파트,,11846
705-813,대구,남구,대명11동,1116∼1201,11847
705-813,대구,남구,대명11동,1230∼1259,11848
705-814,대구,남구,대명11동,1466∼1509,11849
705-814,대구,남구,대명11동,1513∼1580,11850
705-813,대구,남구,대명11동,1581∼1589,11851
705-813,대구,남구,대명11동,1613∼1619,11852
705-814,대구,남구,대명11동,1721-(26∼32),11853
705-814,대구,남구,대명11동,2740∼2768,11854
705-814,대구,남구,대명11동,산228∼322,11855
705-814,대구,남구,대명11동,산360,11856
705-041,대구,남구,대명11동,,11857
705-030,대구,남구,대명동,,11858
705-719,대구,남구,봉덕1동 KT대구본부,,11859
705-710,대구,남구,봉덕1동 KT봉덕지점,,11860
705-786,대구,남구,봉덕1동 강변코오롱하늘채아파트,(101∼104동),11861
705-702,대구,남구,봉덕1동 남구청,,11862
705-826,대구,남구,봉덕1동,1∼531,11863
705-826,대구,남구,봉덕1동,534∼535,11864
705-826,대구,남구,봉덕1동,541∼543,11865
705-830,대구,남구,봉덕1동,546∼547,11866
705-826,대구,남구,봉덕1동,551∼554,11867
705-826,대구,남구,봉덕1동,569∼571,11868
705-830,대구,남구,봉덕1동,572∼595,11869
705-830,대구,남구,봉덕1동,598∼599,11870
705-830,대구,남구,봉덕1동,604∼606,11871
705-826,대구,남구,봉덕1동,627,11872
705-826,대구,남구,봉덕1동,630,11873
705-826,대구,남구,봉덕1동,690∼694,11874
705-826,대구,남구,봉덕1동,705,11875
705-830,대구,남구,봉덕1동,720∼721,11876
705-830,대구,남구,봉덕1동,724∼743,11877
705-826,대구,남구,봉덕1동,744∼750,11878
705-830,대구,남구,봉덕1동,751∼864,11879
705-839,대구,남구,봉덕1동,865-(1∼9),11880
705-839,대구,남구,봉덕1동,865-(18∼23),11881
705-839,대구,남구,봉덕1동,866-(24∼25),11882
705-830,대구,남구,봉덕1동,867,11883
705-839,대구,남구,봉덕1동,868-(1∼15),11884
705-839,대구,남구,봉덕1동,868-(26),11885
705-839,대구,남구,봉덕1동,873-(1∼26),11886
705-839,대구,남구,봉덕1동,873-(31),11887
705-839,대구,남구,봉덕1동,876-(15∼40),11888
705-839,대구,남구,봉덕1동,877-(1∼7),11889
705-839,대구,남구,봉덕1동,877-(11∼23),11890
705-839,대구,남구,봉덕1동,955,11891
705-839,대구,남구,봉덕1동,960∼964,11892
705-826,대구,남구,봉덕1동,965∼979,11893
705-830,대구,남구,봉덕1동,980∼982,11894
705-830,대구,남구,봉덕1동,1008∼1011,11895
705-830,대구,남구,봉덕1동,1298∼1300,11896
705-826,대구,남구,봉덕1동,1619∼1629,11897
705-021,대구,남구,봉덕1동,,11898
705-787,대구,남구,봉덕2동 래미안웰리스트1단지아파트,(101∼105동),11899
705-787,대구,남구,봉덕2동 래미안웰리스트2단지아파트,(201∼203동),11900
705-750,대구,남구,봉덕2동 앞산힐스테이트아파트,(101∼105동),11901
705-751,대구,남구,봉덕2동 효성1차아파트,(101∼110동),11902
705-784,대구,남구,봉덕2동 효성2차아파트,(201∼208동),11903
705-827,대구,남구,봉덕2동,532∼533,11904
705-828,대구,남구,봉덕2동,536∼540,11905
705-827,대구,남구,봉덕2동,723,11906
705-827,대구,남구,봉덕2동,865-(10∼17),11907
705-827,대구,남구,봉덕2동,866-(1∼23),11908
705-827,대구,남구,봉덕2동,866-(26∼44),11909
705-827,대구,남구,봉덕2동,868-(16∼25),11910
705-827,대구,남구,봉덕2동,869∼872,11911
705-827,대구,남구,봉덕2동,873-(27∼30),11912
705-827,대구,남구,봉덕2동,874∼875,11913
705-827,대구,남구,봉덕2동,876-(1∼14),11914
705-827,대구,남구,봉덕2동,877-(8∼10),11915
705-827,대구,남구,봉덕2동,877-(24),11916
705-827,대구,남구,봉덕2동,878∼882,11917
705-828,대구,남구,봉덕2동,883∼923,11918
705-827,대구,남구,봉덕2동,924∼954,11919
705-827,대구,남구,봉덕2동,956∼959,11920
705-827,대구,남구,봉덕2동,991∼998,11921
705-833,대구,남구,봉덕2동,999∼1001,11922
705-828,대구,남구,봉덕2동,1002∼1003,11923
705-828,대구,남구,봉덕2동,1012∼1026,11924
705-833,대구,남구,봉덕2동,1027∼1062,11925
705-828,대구,남구,봉덕2동,1063∼1080,11926
705-833,대구,남구,봉덕2동,1081∼1160,11927
705-833,대구,남구,봉덕2동,1167∼1169,11928
705-834,대구,남구,봉덕2동,1170∼1203,11929
705-833,대구,남구,봉덕2동,1204∼1277,11930
705-833,대구,남구,봉덕2동,1281,11931
705-833,대구,남구,봉덕2동,1283-(4∼10),11932
705-833,대구,남구,봉덕2동,1283-(13∼20),11933
705-833,대구,남구,봉덕2동,1283-(31∼32),11934
705-833,대구,남구,봉덕2동,1283-(35),11935
705-833,대구,남구,봉덕2동,1283-(65∼69),11936
705-833,대구,남구,봉덕2동,1283-(87),11937
705-833,대구,남구,봉덕2동,1283-(103),11938
705-833,대구,남구,봉덕2동,1283-(106∼111),11939
705-833,대구,남구,봉덕2동,1283-(121),11940
705-833,대구,남구,봉덕2동,1284∼1288,11941
705-833,대구,남구,봉덕2동,1293-(1∼45),11942
705-833,대구,남구,봉덕2동,1293-(50∼51),11943
705-833,대구,남구,봉덕2동,1293-(89),11944
705-828,대구,남구,봉덕2동,1501∼1618,11945
705-833,대구,남구,봉덕2동,산17∼100,11946
705-022,대구,남구,봉덕2동,,11947
705-752,대구,남구,봉덕3동 대덕1차아파트,(101∼107동),11948
705-785,대구,남구,봉덕3동 대덕2차아파트,(201∼207동),11949
705-769,대구,남구,봉덕3동 미리내맨션,,11950
705-770,대구,남구,봉덕3동 반도아파트,,11951
705-770,대구,남구,봉덕3동 봉덕맨션,,11952
705-770,대구,남구,봉덕3동 신흥맨션,,11953
705-769,대구,남구,봉덕3동 앞산보성아파트,,11954
705-770,대구,남구,봉덕3동 태성맨션,,11955
705-771,대구,남구,봉덕3동 한우그랜드맨션,,11956
705-829,대구,남구,봉덕3동,544∼545,11957
705-829,대구,남구,봉덕3동,548∼550,11958
705-831,대구,남구,봉덕3동,555∼562,11959
705-832,대구,남구,봉덕3동,563∼568,11960
705-829,대구,남구,봉덕3동,596∼597,11961
705-829,대구,남구,봉덕3동,600∼603,11962
705-829,대구,남구,봉덕3동,607∼609,11963
705-831,대구,남구,봉덕3동,610∼618,11964
705-832,대구,남구,봉덕3동,619∼626,11965
705-831,대구,남구,봉덕3동,628∼629,11966
705-831,대구,남구,봉덕3동,631∼636,11967
705-829,대구,남구,봉덕3동,637∼639,11968
705-832,대구,남구,봉덕3동,640∼680,11969
705-831,대구,남구,봉덕3동,681∼689,11970
705-831,대구,남구,봉덕3동,695∼704,11971
705-831,대구,남구,봉덕3동,706∼719,11972
705-829,대구,남구,봉덕3동,722,11973
705-829,대구,남구,봉덕3동,983∼990,11974
705-829,대구,남구,봉덕3동,1004∼1007,11975
705-855,대구,남구,봉덕3동,1161∼1166,11976
705-855,대구,남구,봉덕3동,1278∼1280,11977
705-855,대구,남구,봉덕3동,1282∼1283,11978
705-855,대구,남구,봉덕3동,1283-(2),11979
705-855,대구,남구,봉덕3동,1283-(11),11980
705-855,대구,남구,봉덕3동,1283-(26),11981
705-855,대구,남구,봉덕3동,1283-(34),11982
705-855,대구,남구,봉덕3동,1283-(45∼58),11983
705-855,대구,남구,봉덕3동,1283-(70∼77),11984
705-855,대구,남구,봉덕3동,1283-(89),11985
705-855,대구,남구,봉덕3동,1283-(104),11986
705-855,대구,남구,봉덕3동,1283-(114∼119),11987
705-855,대구,남구,봉덕3동,1283-(122∼129),11988
705-855,대구,남구,봉덕3동,1289,11989
705-832,대구,남구,봉덕3동,1290∼1292,11990
705-832,대구,남구,봉덕3동,1293-(48),11991
705-832,대구,남구,봉덕3동,1293-(52∼60),11992
705-832,대구,남구,봉덕3동,1294∼1297,11993
705-829,대구,남구,봉덕3동,1301∼1311,11994
705-832,대구,남구,봉덕3동,1312∼1328,11995
705-835,대구,남구,봉덕3동,1329∼1336,11996
705-832,대구,남구,봉덕3동,1337∼1342,11997
705-835,대구,남구,봉덕3동,1343∼1388,11998
705-832,대구,남구,봉덕3동,1389∼1399,11999
705-835,대구,남구,봉덕3동,1400∼1500,12000
705-832,대구,남구,봉덕3동,산101∼227,12001
705-023,대구,남구,봉덕3동,,12002
705-020,대구,남구,봉덕동,,12003
705-772,대구,남구,이천동 강변타운,,12004
705-774,대구,남구,이천동 대성유니드아파트,(101∼107동),12005
705-773,대구,남구,이천동 상아맨션,,12006
705-711,대구,남구,이천동 월드메르디앙아파트,(101∼104동),12007
705-775,대구,남구,이천동 이천뜨란채아파트,(301∼402동),12008
705-772,대구,남구,이천동 주공아파트,(101∼204동),12009
705-836,대구,남구,이천동,1∼156,12010
705-837,대구,남구,이천동,157∼198,12011
705-836,대구,남구,이천동,199∼251,12012
705-837,대구,남구,이천동,252∼360,12013
705-836,대구,남구,이천동,361,12014
705-837,대구,남구,이천동,362∼438,12015
705-838,대구,남구,이천동,439∼462,12016
705-837,대구,남구,이천동,463∼490,12017
705-836,대구,남구,이천동,491∼599,12018
705-838,대구,남구,이천동,600∼650,12019
705-837,대구,남구,이천동,651∼664,12020
705-838,대구,남구,이천동,665∼757,12021
705-010,대구,남구,이천동,,12022
705-600,대구,남구,남대구우체국사서함,,12023
704-900,대구,달서구,갈산동,1∼195,12024
704-901,대구,달서구,갈산동,196∼357,12025
704-900,대구,달서구,갈산동,358∼390,12026
704-901,대구,달서구,갈산동,391∼545,12027
704-900,대구,달서구,갈산동,546∼590,12028
704-901,대구,달서구,갈산동,591∼971,12029
704-900,대구,달서구,갈산동,972∼981,12030
704-170,대구,달서구,갈산동,,12031
704-961,대구,달서구,감삼동 성당코오롱하늘채아파트,(101∼108동),12032
704-735,대구,달서구,감삼동 우방드림시티아파트,,12033
704-753,대구,달서구,감삼동 월드마크웨스트엔드,(101∼107동),12034
704-902,대구,달서구,감삼동,1∼25,12035
704-953,대구,달서구,감삼동,29∼34,12036
704-902,대구,달서구,감삼동,35∼55,12037
704-953,대구,달서구,감삼동,56∼120,12038
704-954,대구,달서구,감삼동,121∼162,12039
704-955,대구,달서구,감삼동,163∼170,12040
704-903,대구,달서구,감삼동,171∼195,12041
704-904,대구,달서구,감삼동,196∼345,12042
704-905,대구,달서구,감삼동,346∼636,12043
704-150,대구,달서구,감삼동,,12044
704-751,대구,달서구,대곡동 금강아파트,,12045
704-846,대구,달서구,대곡동 대곡역화성파크드림위드아파트,(101∼106동),12046
704-723,대구,달서구,대곡동 삼성래미안아파트,(101∼204동),12047
704-751,대구,달서구,대곡동 우방아파트,,12048
704-888,대구,달서구,대곡동 정부대구지방합동청사,,12049
704-751,대구,달서구,대곡동 청구아파트,,12050
704-838,대구,달서구,대곡동,1∼300,12051
704-839,대구,달서구,대곡동,301∼899,12052
704-840,대구,달서구,대곡동,900∼1030,12053
704-841,대구,달서구,대곡동,1031∼1050,12054
704-310,대구,달서구,대곡동,,12055
704-859,대구,달서구,대천동 월배태영데시앙아파트,(101∼107동),12056
704-864,대구,달서구,대천동 월배힐스테이트아파트,(101∼106동),12057
704-860,대구,달서구,대천동 이안월배아파트,(101∼105동),12058
704-800,대구,달서구,대천동,1∼575,12059
704-801,대구,달서구,대천동,576∼1100,12060
704-330,대구,달서구,대천동,,12061
704-707,대구,달서구,도원동 LH대구경북지역본부,,12062
704-791,대구,달서구,도원동 가람마을아파트,,12063
704-792,대구,달서구,도원동 강산타운아파트,,12064
704-793,대구,달서구,도원동 나래마을아파트,,12065
704-720,대구,달서구,도원동 롯데캐슬레이크아파트,(101∼109동),12066
704-794,대구,달서구,도원동 미리샘마을아파트,,12067
704-795,대구,달서구,도원동 별메마을아파트,,12068
704-796,대구,달서구,도원동 사계절타운아파트,,12069
704-797,대구,달서구,도원동 산새마을아파트,,12070
704-798,대구,달서구,도원동 아람마을아파트,,12071
704-799,대구,달서구,도원동 한실들마을아파트,,12072
704-802,대구,달서구,도원동,1∼1427,12073
704-803,대구,달서구,도원동,1428∼1438,12074
704-802,대구,달서구,도원동,1439,12075
704-803,대구,달서구,도원동,1440,12076
704-802,대구,달서구,도원동,1441∼1455,12077
704-803,대구,달서구,도원동,1456∼1480,12078
704-380,대구,달서구,도원동,,12079
704-731,대구,달서구,두류1.2동 국민건강보험공단대구달서지사,,12080
704-712,대구,달서구,두류1.2동 성안오피스텔건물,,12081
704-732,대구,달서구,두류1.2동 현대해상빌딩,,12082
704-908,대구,달서구,두류1.2동,1∼99,12083
704-909,대구,달서구,두류1.2동,100∼153,12084
704-909,대구,달서구,두류1.2동,302,12085
704-906,대구,달서구,두류1.2동,761∼779,12086
704-908,대구,달서구,두류1.2동,780∼781,12087
704-906,대구,달서구,두류1.2동,782∼812,12088
704-908,대구,달서구,두류1.2동,813,12089
704-906,대구,달서구,두류1.2동,814∼815,12090
704-908,대구,달서구,두류1.2동,816∼824,12091
704-906,대구,달서구,두류1.2동,825,12092
704-908,대구,달서구,두류1.2동,826,12093
704-906,대구,달서구,두류1.2동,827,12094
704-908,대구,달서구,두류1.2동,828,12095
704-906,대구,달서구,두류1.2동,829∼830,12096
704-908,대구,달서구,두류1.2동,831,12097
704-906,대구,달서구,두류1.2동,832,12098
704-908,대구,달서구,두류1.2동,833∼840,12099
704-906,대구,달서구,두류1.2동,841∼843,12100
704-908,대구,달서구,두류1.2동,851,12101
704-906,대구,달서구,두류1.2동,852∼855,12102
704-908,대구,달서구,두류1.2동,856∼857,12103
704-906,대구,달서구,두류1.2동,858∼1105,12104
704-907,대구,달서구,두류1.2동,1106∼1183,12105
704-906,대구,달서구,두류1.2동,1184∼1185,12106
704-907,대구,달서구,두류1.2동,1186∼1235,12107
704-908,대구,달서구,두류1.2동,1236,12108
704-907,대구,달서구,두류1.2동,1237∼1239,12109
704-908,대구,달서구,두류1.2동,1240∼1276,12110
704-907,대구,달서구,두류1.2동,1277,12111
704-908,대구,달서구,두류1.2동,1278∼1337,12112
704-908,대구,달서구,두류1.2동,1338∼1350,12113
704-061,대구,달서구,두류1.2동,,12114
704-734,대구,달서구,두류3동 삼정그린빌아파트,,12115
704-910,대구,달서구,두류3동,154∼301,12116
704-910,대구,달서구,두류3동,303∼494,12117
704-911,대구,달서구,두류3동,495∼497,12118
704-910,대구,달서구,두류3동,498∼629,12119
704-911,대구,달서구,두류3동,630∼760,12120
704-063,대구,달서구,두류3동,,12121
704-060,대구,달서구,두류동,,12122
704-721,대구,달서구,본동 대구공업대학,,12123
704-785,대구,달서구,본동 월성주공5단지아파트,,12124
704-752,대구,달서구,본동 청구그린맨션2차아파트,,12125
704-752,대구,달서구,본동 청구그린맨션3차아파트,,12126
704-804,대구,달서구,본동,1∼199,12127
704-805,대구,달서구,본동,200∼300,12128
704-806,대구,달서구,본동,301∼749,12129
704-807,대구,달서구,본동,750∼1300,12130
704-350,대구,달서구,본동,,12131
704-962,대구,달서구,본리동 롯데캐슬아파트,(101∼107동),12132
704-971,대구,달서구,본리동 롯데캐슬아파트,(201∼207동),12133
704-967,대구,달서구,본리동 성당래미안e-편한세상1단지아파트,(101∼110동),12134
704-968,대구,달서구,본리동 성당래미안e-편한세상2단지아파트,(201∼219동),12135
704-728,대구,달서구,본리동 현대백조타운,,12136
704-912,대구,달서구,본리동,1∼153,12137
704-913,대구,달서구,본리동,154∼351,12138
704-914,대구,달서구,본리동,352∼699,12139
704-942,대구,달서구,본리동,1198∼1217,12140
704-120,대구,달서구,본리동,,12141
704-754,대구,달서구,상인1동 동서아파트,,12142
704-722,대구,달서구,상인1동 롯데백화점,,12143
704-756,대구,달서구,상인1동 보성아파트,,12144
704-774,대구,달서구,상인1동 보성은하아파트,,12145
704-863,대구,달서구,상인1동 상인대성스카이렉스아파트,(101∼104동),12146
